komentar,sentiment
"mantab, lebih baik dari aplikasi sebelah.",positif
Baik,positif
ok banget,positif
yaudah oke makasih banyak,positif
"klo order GO-RIDE sering banget dapat driver yang posisinya jauh, jadi kelamaan nunggunya, mending pindah ke ijo sebelah, lebih cepet dapat drivernya",negatif
mantap memudahkan semuanya 👍 sukses terus gojek 🙏,positif
best,positif
bgus,positif
banyak promo,positif
Promo jarang,negatif
Jempol buat aplikasi ini.,positif
"banyakin voucher buat gofood dong min,soalnya kadang ongkir nya lebih mahal dari harga makanannya itu sendiri 🥲",positif
Go food gabisa batalin,negatif
mantapppp,positif
"paling ga seneng pembatalan sepihak udh nunggu lebih dari 40menit baru aja kejadian buat apa nunggu klw batal emang lu sapa? presiden?, kemarin"" juga telat 30menit karena transaksi double, tetep aja aku bayar untuk express(hapus aja ni pukul rata standar🤣🤣🤣🤣) bintang 1 pun ga layak",negatif
"mahal, jarak 14 km aja 47.000 💩",negatif
biasa pake gofood n gosend sangat membantu..tanx,positif
"bagus driver sopan, ngter jemput sudah sesuai titik jemput",positif
"kadang pengiriman salah rumah, untuk kedepannya di perhatikan lagi driver nya",negatif
bagus,positif
bagus,positif
"lah gimana ini gojek mau di jual ke grab ,,lemah amat sebagai apk karya anak bangsa",negatif
"gila gojek ga bgt, better grab",negatif
👍👍👍👍,positif
bagus,positif
Aplikasi ampas. Pakai go mart barang ga nyampe karna stok kosong TAPI DANA TIDAK DI KEMBALIKAN. LUCU !!!,negatif
bagus,positif
bagus,positif
sangat membantu saat berpergian,positif
keren,positif
mantappp,positif
Ojol favorite aku & puas banget juga sangat membantu aktifitas sehari-hariku & mempermudah sudah bertahun-tahun selalu pake jasa gojek gak pernah pindah kelain hati.Berkah & Sukses trs selamanya gojek🎉🥳😍,positif
Terimakasih atas bang gojek serta apk nya yaa. utamakan keselamatan dan kenyamanan penumpang. sukses selalu,positif
aman nyaman pokok nya OK 👍👍👍👍,positif
gojek selalu ngerampok dengan dalih uang saldo kita di alihkan ke gopay tabungan padahal hilang di rampok,negatif
"Dengan adanya aplikasi pln mobile,sangat memudah dlm permasalahan kelistrikan",positif
sejauh ini puas dengan layanannya,positif
banyak diskon nya,positif
"pelayanan CSnya gercep, gokill cepet banget prosesnya",positif
terbaiik,positif
Remon banyak bngt promonya apa lagi udah jadi gojek plus,positif
aplikasi yang sangat membantu aku jika lagi dalam keadaan mau pergi pergi,positif
"sukaaa, nyaman aman dengan gojek",positif
mantap...,positif
gak bisa daftar,negatif
saya tidak melakukan transaksi apapun tiba2 saldo saya terkuras,negatif
good,positif
sangat membantu,positif
ok,positif
mantap,positif
"sering error. Padahal driver sudah di lokasi, malah dibilang masih perjalanan. Aneh banget",negatif
aplikasi gak jelas ngutang kagak disuruh bayar utang udah mana kata katanya kebun bintang keluar semua haduh uninstal aja ini aplikasi gak jelas,negatif
cocok,positif
mantap amanah,positif
ok,positif
Top,positif
"Hilangin ongkir 6 k dan juga jadwal operasional, buat apa ada goofod jarak deket kalau diadain lagi jadwal operasional",negatif
ongkirnya ngerampok anj 11 12 sama toped pantes logonya sama sama ijo 🤭😹,negatif
"knp ya akhir"" driver susah didapat , padahal saya sering sekali order dulu lncar"" saja tp akhir"" bulan ini susah sekali carinya , sampe sejampun nunggi ga dpet"" juga , klo dibilang daerah saya banyak gojek lalu lalang , tp ga ad yg ambil pesanan dan ini ga terjadi di hp saya saja , temen"" yg pakai aplikasi ini juga ngeluh begitu padahal saya sering juga ngisi gopay , bener"" gojek makin buruk, lebih baik pidah ke ojek online lain ,",negatif
这款应用的行为实在令人感到创伤且难以置信——在这个国家，竟有一家由上市公司运营的平台，其评估标准和行为方式完全受制于欲望与自私，毫无成熟度可言，更遑论在政策实施上对所有用户保持公正。 即便是那些忠诚使用近十年、将所有交易托付于此的资深用户，也难以从该平台感受到任何赏识之意，更不用说其充满歧视性的促销政策。其余种种，只让人感受到一家企业的傲慢与专横,negatif
kemanapun pergi terasa mudah,positif
padahal udh isi saldo gopay 100rb tapi di gopay nya gak ada bukti isi saldo juga ada gmn ini gojek,positif
Memuaskan dan Nyaman,positif
apanya gopay tabungan du potong otomatis seenaknya jidat nya,negatif
mantap,positif
"Parah gojek, mau di kasih makan apa keluarga kalo akun gojek setiap hari anyep terus ini, yah 😡",negatif
"isi gopay ga langsung masuk,bener bener sampe harus berkali kali buka tutup aplikasi",negatif
"mudah, murah, hemat, cepat",positif
nyanan san mudsh,positif
layanan bagus,positif
"apk ny lumyn, tpi drivernya kenapa pada egk sopan?? pliss ya gw mending pindah ke indrive, perhitungan banget drivernya",negatif
Terima kasih luar biasa buat gojek..sukses selalu 👍,positif
okee,positif
mantab .. respon cepat,positif
Bukan nya tambah bagus malah tambah ancur 👎,negatif
"pertama kalinya gue di kecewain sama gofood, beli di TIANLALA, RAYA REGENCY, LEMONNYA BUSUK, bukannya di buang, malah di jual, rasanya aneh, kalo beli 1 mending, gue beli 4, terpaksa gue buang semua,dah gitu di bawah gelasnya ada CAIRAN PUTIH LENGKET, udah komplen, gak di tanggapi sama sekali",negatif
hampir 1 jam nunggu driver datang...capek bgt rsx,negatif
kerenn cukk..,positif
mantab,positif
lbh.praktis.,positif
"Kecewa dengan app gojek karena tidak ada fitur pembatalan pemesanan makanan, padahal belum ada 5 menit dari proses saya pencet fitur pesan, itu saya salah pencet, masa iya baru 5 menit pesanan langsung sudah disiapkan",positif
TERLALU BANYAK IKLAN DAN MENGGANGU KONTEN DAN AKTIVITAS mennoton youtube dan menggangu banyak ativitas di layar hp,negatif
"pesan gopood skrg lama banget dapet driver nya, gak seperti grab pas order langsung dapet driver, gojek payah klw order makanan harus nunggu 30mnt baru dapet driver",negatif
sangat berguna buat driver,positif
bagussssssssss,positif
mantap,positif
harus di perbaiki lagi sebelum terjadi yang tidak di inggin kan costumer,negatif
ok,positif
great,positif
sangat membantu,positif
bagus,positif
keren,positif
bagus banget,positif
oke,positif
mantapp banyak promo🙆,positif
aplikasi berguna,positif
good job,positif
