user,rating,tanggal,like,Komentar
Pengguna Google,1,2023-09-21 21:38:02,0,Lama lama kok jadi gampang nge freeze sih aplikasinya. Jadi harus force close terus nyebelin
Pengguna Google,5,2025-04-03 12:29:19,0,sangat membantu
Pengguna Google,1,2020-06-14 19:22:44,0,Entah kenapa..kok aplikasi gojek jadi aneh. Sinyal penuh terus udah selesai menginstal tapi..kok malah nginstal ulang...
Pengguna Google,1,2023-07-31 00:15:18,2,Panggilan sering bermasalah padahal sudah akhiri panggilan tp di belakang layar ponsel masih berjalan terus
Pengguna Google,1,2021-04-24 10:29:07,2,Saya sudah komplain ke customer service gojek tentang masalah saya ingin login tapi nomer saya sudah mati. Dan kenapa tidak dibantu? Dan tidak ada balasan tentang permasalahan saya
Pengguna Google,5,2019-12-02 09:43:33,0,Udah di ajukan keluhann maps nya gk bisa gunain Tapi gk ada perbaikan jg dri aplikasinya.
Pengguna Google,5,2022-03-01 13:26:34,0,Ada grtsan lagi dong min kaya dulu2 hehe. Overall aku suka sih apk nya. Langganan apa2 pake gojek hihi. Sukses terusss
Pengguna Google,3,2022-01-14 16:06:11,0,"Ktp saya emang buram,,hasilnya fotonya jadi bluur..mau narik jadi agak ribet harus berulang x..solusi Kya apa min"
Pengguna Google,1,2022-05-05 18:39:31,0,"Sudah ber jam jam , sampai saat ini saya ingin melakukan pembelian tiket bioskop masih belum bisa, sudah di complain respon pun sangat lama sekali, payah"
Pengguna Google,5,2021-03-17 13:46:30,0,Mohon jangan terlalu berat2 aplikasi nya biar kl mau pesan bisa cepat...terimakasih pt gojek indonesia
Pengguna Google,1,2019-04-10 08:39:41,0,"kenapa disaat sudah ngeinstal aplikasi gojek selalu terhenti, jadi saya tidak bisa menggunakan aplikasi."
Pengguna Google,1,2019-03-05 11:15:33,0,paraah bgt sih 6x update ga pernah bs diinstal ..tolong dunk servernya diperbaiki ..tolong responyaaaaa
Pengguna Google,5,2023-08-22 07:08:09,1,"sangat membantu sekali, jika boleh usul baiknya driver terdekat pemesan yg mendapatkan ordernya.."
Pengguna Google,1,2023-12-21 18:52:26,0,"Waktu pesen goride loading mulu, padahal mau ke stasiun kereta. Jadi telat 🙃"
Pengguna Google,2,2020-04-03 16:23:14,0,Kenapa ya sekarang pas top up game free fire dulu bisa kok sekarang gk bisa udah coba berkali-kali tetep gk bisa tolong bantuannya min
Pengguna Google,2,2019-04-15 09:28:55,0,untuk penarikan saldo gopay k rekening prosesnya lama bnget N berbiaya lg.. g kyak sebelah yg langsung masuk N gratis..kecewa tingkat dewa
Pengguna Google,5,2018-11-19 08:01:49,1,Untuk keseluruhan udah bagus. Tp tolong PDAM nya di tambah lagi areanya. Untuk Kab. BOYOLALI belum ada. Thx
Pengguna Google,5,2019-09-01 21:35:13,1,Kok saat saya mau upgrade gopay saat mau selfie kok ga bisa bolak balik terus gak kebuka kamera nya tolong diperbaiki
Pengguna Google,1,2019-01-01 06:12:51,0,"di raport ko gk pernah ngasih tips ke driver sih? Padahal saya tiap kali pake aplikasi, selalu memberi ongkos lebih ke driver dan gak pernah minta uang kembali. .klo ada uang parkir, saya juga yang bayar. ."
Pengguna Google,1,2021-12-01 01:20:07,0,"Kostumer harus bayar biaya aplikasi dan jasa layanan, tp pelayanan nya jelek, order dapat driver nya jauh harus nunggu lama"
